id,process_id,company,pankou,chupan_bigball_rating,chupan_pankou,chupan_smallball_rating,instant_bigball_rating,instant_pankou,instant_smallball_rating
32,49,立博,盘口2,0.15,1.5,4.25,0.40,1.5,2.00
33,49,立博,盘口3,1.25,3.5,0.62,3.00,3.5,0.25
34,49,立博,盘口4,0.03,0.5,18.00,0.08,0.5,7.50
35,50,ManbetX,盘口1,0.91,2/2.5,0.99,0.95,2/2.5,0.95
36,50,ManbetX,盘口2,1.17,2.5,0.75,1.21,2.5,0.72
37,50,ManbetX,盘口3,0.62,2,1.38,0.65,2,1.33
38,50,Crown,盘口1,0.82,2/2.5,1.04,0.94,2/2.5,0.92
39,50,Crown,盘口2,1.06,2.5,0.80,0.65,2,1.26
40,50,Crown,盘口3,0.61,2,1.33,1.19,2.5,0.70
41,50,Bet365,盘口1,1.07,2.5,0.83,0.95,2/2.5,0.95
42,50,韦德,盘口1,0.85,2/2.5,1.02,0.95,2/2.5,0.95
43,50,韦德,盘口2,1.10,2.5,0.80,1.20,2.5,0.73
44,50,韦德,盘口3,0.60,2,1.45,0.67,2,1.30
45,50,明陞,盘口1,0.90,2.5,1.00,0.95,2/2.5,0.95
46,50,明陞,盘口2,0.68,2,1.28,1.25,2.5,0.70
47,50,10BET,盘口1,0.87,2.5,0.98,0.91,2/2.5,0.93
48,50,10BET,盘口2,1.08,2.5/3,0.75,1.16,2.5,0.69
49,50,10BET,盘口3,0.63,2/2.5,1.28,0.59,2,1.37
50,50,10BET,盘口4,1.49,2.5/3,0.54,1.49,2.5/3,0.54
51,50,金宝博,盘口1,0.95,2.5,0.95,0.95,2/2.5,0.95
52,50,金宝博,盘口2,1.08,2.5,0.82,1.21,2.5,0.72
53,50,金宝博,盘口3,0.62,2,1.38,0.65,2,1.33
54,50,12bet,盘口1,0.90,2.5,1.00,0.95,2/2.5,0.95
55,50,12bet,盘口2,0.68,2,1.28,1.25,2.5,0.70
56,50,利记,盘口1,0.95,2.5,0.95,0.95,2/2.5,0.95
57,50,利记,盘口2,0.95,2/2.5,0.95,1.17,2.5,0.75
