id,process_id,company,home_win_odds,draw_odds,guest_win_odds,home_win_rating,draw_rating,guest_win_rating,returned_rating,kaili_index1,kaili_index2,kaili_index3,change_time
76,49,Hrvatska Lutrija(克罗地亚),1.35,4.65,10.40,70.42,20.44,9.14,95.06,0.96,0.93,0.92,2018/3/9 03:16:00
77,49,Intertops(安提瓜和巴布达),1.35,4.60,11.00,70.61,20.72,8.67,95.33,0.96,0.92,0.97,2018/2/25 04:07:00
78,49,Intralot.it(意大利),1.30,4.75,12.00,72.36,19.80,7.84,94.07,0.93,0.95,1.06,2018/2/9 17:39:00
79,49,Island Casino(哥斯达黎加),1.32,5.10,13.65,73.77,19.09,7.13,97.38,0.94,1.02,1.20,2017/3/12 23:03:00
80,49,Jetbull(俄罗斯),1.28,4.50,10.00,70.80,20.14,9.06,90.62,0.91,0.90,0.88,2018/2/27 18:17:00
81,49,JoinBet,1.31,4.77,12.06,72.29,19.85,7.85,94.70,0.93,0.95,1.06,2017/12/16 09:51:00
82,49,Krooncasino,1.34,5.15,11.50,72.64,18.90,8.46,97.33,0.95,1.03,1.01,2018/3/10 22:25:00
83,49,Liga Stavok,1.35,5.00,10.00,71.17,19.22,9.61,96.09,0.96,1.00,0.88,2018/3/13 23:03:00
84,49,Marcaapuestas,1.30,4.50,11.00,71.07,20.53,8.40,92.39,0.93,0.90,0.97,2018/3/9 20:22:00
85,49,Marsbet,1.34,5.00,11.50,72.23,19.36,8.42,96.78,0.95,1.00,1.01,2018/3/9 20:22:00
86,49,marsbetting,1.35,4.50,10.00,69.69,20.91,9.41,94.08,0.96,0.90,0.88,2018/1/3 10:27:00
87,49,MeridianBet(爱尔兰),1.30,4.60,11.00,71.39,20.17,8.44,92.80,0.93,0.92,0.97,2018/1/9 05:20:00
88,49,MrGreen,1.30,5.00,12.00,73.08,19.00,7.92,95.01,0.93,1.00,1.06,2018/3/11 06:58:00
89,49,NetBet,1.30,4.90,12.50,73.03,19.38,7.60,94.94,0.93,0.98,1.10,2018/2/20 16:18:00
90,49,novibet,1.26,5.50,9.60,73.51,16.84,9.65,92.62,0.90,1.10,0.85,2017/12/5 15:01:00
91,49,Paddy Power(爱尔兰),1.30,5.00,9.00,71.20,18.51,10.28,92.56,0.93,1.00,0.79,2017/12/5 15:01:00
92,49,PAF(芬兰奥兰群岛),1.29,5.00,13.00,73.68,19.01,7.31,95.05,0.92,1.00,1.15,2018/2/21 00:16:00
93,49,PAF.es,1.30,5.00,12.00,73.08,19.00,7.92,95.01,0.93,1.00,1.06,2018/3/10 22:25:00
94,49,ParionsSport,1.30,4.35,10.00,69.99,20.92,9.10,90.98,0.93,0.87,0.88,2018/3/10 22:25:00
95,49,PlanetWin365,1.32,4.65,12.90,72.14,20.48,7.38,95.22,0.94,0.93,1.14,2018/3/6 23:42:00
96,49,PMU(法国),1.26,4.80,9.50,71.68,18.82,9.51,90.31,0.90,0.96,0.84,2018/1/7 14:59:00
97,49,SBG Global(哥斯达黎加),1.32,5.10,13.65,73.77,19.09,7.13,97.38,0.94,1.02,1.20,2017/3/12 15:11:00
98,49,Singbet,1.33,4.80,11.00,71.53,19.82,8.65,95.14,0.95,0.96,0.97,2018/2/6 02:00:00
99,49,Sisal.it,1.35,4.50,11.00,70.29,21.09,8.63,94.89,0.96,0.90,0.97,2017/12/19 09:46:00
100,49,skybet(英国),1.33,4.50,11.00,70.60,20.87,8.54,93.90,0.95,0.90,0.97,2018/2/27 18:17:00
101,49,SNAI.it,1.30,4.75,12.00,72.36,19.80,7.84,94.07,0.93,0.95,1.06,2018/1/31 06:17:00
102,49,SportBet(哥斯达黎加),1.32,5.10,13.65,73.77,19.09,7.13,97.38,0.94,1.02,1.20,2017/3/12 23:03:00
103,49,Sportsbet.com.au(澳大利亚),1.25,4.50,9.50,70.95,19.71,9.34,88.69,0.89,0.90,0.84,2018/1/7 14:59:00
104,49,Tipbet,1.35,4.65,11.00,70.77,20.55,8.69,95.54,0.96,0.93,0.97,2018/3/6 00:42:00
