id,process_id,company,pankou,chupan_home_rating,chupan_pankou,chupan_away_rating,instant_home_rating,instant_pankou,instant_away_rating
121,54,韦德,盘口1,0.81,受让平手/半球,1.14,0.80,受让平手/半球,1.14
122,54,韦德,盘口2,1.18,平手,0.77,1.16,平手,0.77
123,54,韦德,盘口3,0.61,受让半球,1.50,0.60,受让半球,1.48
124,55,ManbetX,盘口1,0.99,平手/半球,0.91,0.97,平手/半球,0.93
125,55,ManbetX,盘口2,1.29,半球,0.67,1.28,半球,0.68
126,55,ManbetX,盘口3,0.65,平手,1.33,0.64,平手,1.35
127,55,Crown,盘口1,0.98,平手/半球,0.90,0.97,平手/半球,0.91
128,55,Crown,盘口2,0.64,平手,1.31,0.63,平手,1.33
129,55,Crown,盘口3,1.29,半球,0.65,1.26,半球,0.67
130,55,Bet365,盘口1,0.98,平手/半球,0.95,0.98,平手/半球,0.95
131,55,Bet365,盘口2,0.55,平手,1.38,0.55,平手,1.38
132,55,Bet365,盘口3,1.25,半球,0.62,1.25,半球,0.62
133,55,Bet365,盘口4,1.67,半球/一球,0.45,1.67,半球/一球,0.45
134,55,韦德,盘口1,1.00,平手/半球,0.90,0.99,平手/半球,0.92
135,55,韦德,盘口2,1.36,半球,0.67,1.33,半球,0.68
136,55,韦德,盘口3,0.64,平手,1.40,0.63,平手,1.42
137,55,明陞,盘口1,0.90,平手/半球,1.00,0.98,平手/半球,0.94
138,55,明陞,盘口2,0.67,平手,1.33,1.32,半球,0.68
139,55,10BET,盘口1,0.90,平手/半球,1.00,0.98,平手/半球,0.91
140,55,10BET,盘口2,1.22,半球,0.70,1.31,半球,0.65
141,55,10BET,盘口3,0.57,平手,1.47,0.62,平手,1.36
142,55,10BET,盘口4,1.87,半球/一球,0.44,1.87,半球/一球,0.44
143,55,金宝博,盘口1,0.88,平手/半球,1.02,0.97,平手/半球,0.93
144,55,金宝博,盘口2,0.65,平手,1.33,1.28,半球,0.68
145,55,金宝博,盘口3,0.65,平手,1.33,0.64,平手,1.35
146,55,12bet,盘口1,0.90,平手/半球,1.00,0.98,平手/半球,0.94
147,55,12bet,盘口2,0.67,平手,1.33,1.32,半球,0.68
148,55,利记,盘口1,0.85,平手/半球,1.05,0.97,平手/半球,0.95
149,55,利记,盘口2,0.68,平手,1.31,0.64,平手,1.38
150,55,盈禾,盘口1,0.91,平手/半球,0.98,0.98,平手/半球,0.91
151,55,盈禾,盘口2,0.65,平手,1.32,1.28,半球,0.67
152,55,盈禾,盘口3,0.65,平手,1.32,0.64,平手,1.34
153,55,盈禾,盘口4,0.65,平手,1.32,0.64,平手,1.34
154,55,18Bet,盘口1,1.00,平手/半球,0.90,0.96,平手/半球,0.93
155,55,18Bet,盘口2,1.31,半球,0.66,1.29,半球,0.68
156,55,18Bet,盘口3,0.65,平手,1.33,0.64,平手,1.36
157,56,ManbetX,盘口1,1.00,受让半球,0.90,1.00,受让半球,0.90
158,56,ManbetX,盘口2,0.75,受让半球/一球,1.17,0.75,受让半球/一球,1.17
159,56,ManbetX,盘口3,1.31,受让平手/半球,0.66,1.31,受让平手/半球,0.66
160,56,Crown,盘口1,1.00,受让半球,0.88,0.98,受让半球,0.90
161,56,Crown,盘口2,0.75,受让半球/一球,1.14,0.73,受让半球/一球,1.17
162,56,Crown,盘口3,1.31,受让平手/半球,0.64,1.29,受让平手/半球,0.65
163,56,Bet365,盘口1,1.05,受让半球,0.88,1.00,受让半球,0.93
164,56,Bet365,盘口2,1.30,受让平手/半球,0.60,1.25,受让平手/半球,0.62
165,56,Bet365,盘口3,0.73,受让半球/一球,1.08,0.68,受让半球/一球,1.15
166,56,Bet365,盘口4,0.50,受让一球,1.50,0.45,受让一球,1.67
167,56,韦德,盘口1,1.03,受让半球,0.89,0.98,受让半球,0.93
168,56,韦德,盘口2,0.77,受让半球/一球,1.18,0.72,受让半球/一球,1.24
169,56,韦德,盘口3,1.43,受让平手/半球,0.64,1.33,受让平手/半球,0.67
170,56,明陞,盘口1,1.05,受让半球,0.85,1.00,受让半球,0.92
171,56,明陞,盘口2,0.69,受让半球/一球,1.30,0.70,受让半球/一球,1.28
172,56,10BET,盘口1,1.04,受让半球,0.85,0.99,受让半球,0.90
173,56,10BET,盘口2,0.80,受让半球/一球,1.07,0.69,受让半球/一球,1.22
174,56,10BET,盘口3,1.45,受让平手/半球,0.58,1.39,受让平手/半球,0.61
175,56,10BET,盘口4,0.50,受让一球,1.67,0.50,受让一球,1.67
176,56,金宝博,盘口1,1.05,受让半球,0.85,1.00,受让半球,0.90
177,56,金宝博,盘口2,0.77,受让半球/一球,1.14,0.75,受让半球/一球,1.17
178,56,金宝博,盘口3,1.33,受让平手/半球,0.65,1.31,受让平手/半球,0.66
179,56,12bet,盘口1,1.05,受让半球,0.85,1.00,受让半球,0.92
180,56,12bet,盘口2,0.69,受让半球/一球,1.30,0.70,受让半球/一球,1.28
181,56,利记,盘口1,1.03,受让半球,0.87,0.97,受让半球,0.95
182,56,利记,盘口2,0.72,受让半球/一球,1.25,0.72,受让半球/一球,1.25
183,56,盈禾,盘口1,1.04,受让半球,0.85,0.99,受让半球,0.90
184,56,盈禾,盘口2,0.76,受让半球/一球,1.15,0.74,受让半球/一球,1.18
185,56,盈禾,盘口3,1.33,受让平手/半球,0.64,1.31,受让平手/半球,0.65
186,56,盈禾,盘口4,1.31,受让平手/半球,0.65,1.31,受让平手/半球,0.65
187,56,18Bet,盘口1,1.02,受让半球,0.88,0.97,受让半球,0.91
188,56,18Bet,盘口2,0.76,受让半球/一球,1.16,0.71,受让半球/一球,1.23
189,56,18Bet,盘口3,1.33,受让平手/半球,0.65,1.31,受让平手/半球,0.66
190,57,ManbetX,盘口1,0.97,一球,0.93,0.97,一球,0.93
191,57,ManbetX,盘口2,0.70,半球/一球,1.25,0.70,半球/一球,1.25
192,57,Crown,盘口1,0.97,一球,0.91,0.95,一球,0.93
193,57,Crown,盘口2,0.68,半球/一球,1.25,0.69,半球/一球,1.23
194,57,Bet365,盘口1,0.99,一球,0.94,0.99,一球,0.94
195,57,Bet365,盘口2,0.62,半球/一球,1.25,0.62,半球/一球,1.25
196,57,Bet365,盘口3,1.20,一球/球半,0.65,1.20,一球/球半,0.65
197,57,Bet365,盘口4,1.42,球半,0.52,1.42,球半,0.52
198,57,韦德,盘口1,0.98,一球,0.93,1.00,一球,0.92
199,57,韦德,盘口2,0.71,半球/一球,1.28,0.71,半球/一球,1.26
200,57,韦德,盘口3,1.34,一球/球半,0.68,1.35,一球/球半,0.66
201,57,明陞,盘口1,1.05,一球,0.85,0.98,一球,0.92
202,57,10BET,盘口1,1.04,一球,0.85,0.98,一球,0.91
203,57,10BET,盘口2,1.29,一球/球半,0.66,0.68,半球/一球,1.25
204,57,10BET,盘口3,1.35,一球/球半,0.63,1.35,一球/球半,0.63
205,57,10BET,盘口4,0.52,半球,1.61,0.52,半球,1.61
206,57,金宝博,盘口1,1.05,一球,0.85,0.97,一球,0.93
207,57,金宝博,盘口2,0.69,半球/一球,1.26,0.70,半球/一球,1.25
208,57,12bet,盘口1,1.05,一球,0.85,0.98,一球,0.92
209,57,利记,盘口1,1.03,一球,0.87,0.97,一球,0.93
210,57,盈禾,盘口1,1.04,一球,0.85,0.96,一球,0.93
211,57,盈禾,盘口2,0.69,半球/一球,1.25,0.70,半球/一球,1.24
212,57,盈禾,盘口3,0.70,半球/一球,1.24,0.70,半球/一球,1.24
213,57,18Bet,盘口1,1.05,一球,0.85,0.96,一球,0.92
214,57,18Bet,盘口2,0.69,半球/一球,1.26,0.70,半球/一球,1.25
215,58,ManbetX,盘口1,1.04,受让球半/两球,0.86,1.03,受让球半/两球,0.87
216,58,ManbetX,盘口2,0.78,受让两球,1.13,0.76,受让两球,1.16
217,58,Crown,盘口1,1.04,受让球半/两球,0.84,1.02,受让球半/两球,0.86
218,58,Crown,盘口2,0.76,受让两球,1.13,0.75,受让两球,1.14
